date,open,high,low,close
2022-12-22,ESH23,3915.0,3919.75,3788.5
2022-12-23,ESH23,3850.0,3872.5,3821.25
2022-12-27,ESH23,3878.0,3900.5,3837.25
2022-12-28,ESH23,3858.0,3875.0,3804.5
2022-12-29,ESH23,3811.0,3882.75,3806.25
2022-12-30,ESH23,3869.75,3871.0,3821.5
2023-01-03,ESH23,3895.0,3906.75,3814.5
2023-01-04,ESH23,3842.75,3896.25,3836.5
2023-01-05,ESH23,3871.0,3885.5,3822.5
2023-01-06,ESH23,3833.0,3928.75,3819.0
2023-01-09,ESH23,3918.5,3973.25,3909.75
2023-01-10,ESH23,3914.5,3943.75,3891.5
2023-01-11,ESH23,3941.0,3992.5,3934.5
2023-01-12,ESH23,3991.75,4021.5,3954.0
2023-01-13,ESH23,4003.0,4024.25,3961.75
2023-01-17,ESH23,4020.0,4035.25,3996.75
2023-01-18,ESH23,4008.5,4033.5,3943.75
2023-01-19,ESH23,3945.25,3948.75,3901.75
2023-01-20,ESH23,3925.0,3990.5,3911.75
2023-01-23,ESH23,3987.0,4056.75,3980.25
2023-01-24,ESH23,4036.5,4047.5,4005.25
2023-01-25,ESH23,4039.0,4040.5,3963.25
2023-01-26,ESH23,4031.0,4077.0,4027.25
2023-01-27,ESH23,4065.0,4109.25,4057.25
2023-01-30,ESH23,4077.0,4086.0,4029.5
2023-01-31,ESH23,4039.25,4091.25,4007.5
2023-02-01,ESH23,4085.75,4163.25,4048.5
2023-02-02,ESH23,4145.5,4208.5,4136.75
2023-02-03,ESH23,4176.0,4194.0,4132.5
2023-02-06,ESH23,4134.25,4143.0,4104.0
2023-02-07,ESH23,4123.5,4188.25,4098.25
2023-02-08,ESH23,4167.25,4179.25,4121.25
2023-02-09,ESH23,4132.25,4170.25,4078.25
2023-02-10,ESH23,4098.0,4104.25,4060.75
2023-02-13,ESH23,4105.0,4150.75,4078.75
2023-02-14,ESH23,4149.75,4186.5,4103.75
2023-02-15,ESH23,4141.25,4161.75,4113.0
2023-02-16,ESH23,4159.0,4168.5,4095.0
2023-02-17,ESH23,4095.5,4096.0,4055.75
2023-02-21,ESH23,4083.0,4089.25,4002.0
2023-02-22,ESH23,4007.5,4025.0,3983.75
2023-02-23,ESH23,4010.0,4034.25,3974.25
2023-02-24,ESH23,4015.25,4023.25,3947.5
2023-02-27,ESH23,3976.5,4024.75,3973.0
